transaction_id,customer_id,account_type,country,amount,currency,category,timestamp,status,alert_priority,risk_score,fraud_reasons
2202,343,Empresarial,FR,3523.49,EUR,Transferencia,2025-10-10 09:54:09,DECLINED,BAJA,4,
2886,156,Corriente,FR,42.81,EUR,Cajero,2025-10-07 05:41:49,FRAUD,CRÍTICA,0,
1704,226,Premium,FR,4131.42,EUR,Transferencia,2025-10-07 11:39:58,DECLINED,BAJA,4,
1962,281,Premium,US,1590.11,USD,Transferencia,2025-10-07 04:09:38,APPROVED,BAJA,3,
2365,327,Premium,FR,130.95,EUR,Gasolinera,2025-10-07 15:26:12,FRAUD,CRÍTICA,0,
2826,672,Corriente,UK,132.32,GBP,Entretenimiento,2025-10-07 12:31:38,FRAUD,CRÍTICA,0,
2994,274,Premium,US,5054.82,USD,Transferencia,2025-10-12 19:50:41,DECLINED,BAJA,4,
2231,319,Empresarial,DE,3909.77,EUR,Transferencia,2025-10-12 14:52:01,DECLINED,BAJA,4,
2597,387,Ahorro,ES,117.76,EUR,Entretenimiento,2025-10-12 09:41:00,FRAUD,CRÍTICA,0,
2149,309,Premium,ES,4296.94,EUR,Transferencia,2025-10-09 09:20:56,DECLINED,BAJA,4,
2341,439,Premium,FR,230.24,EUR,Supermercado,2025-10-09 08:46:48,FRAUD,CRÍTICA,0,
1661,463,Corriente,FR,463.51,EUR,Hotel,2025-10-09 19:26:07,FRAUD,CRÍTICA,0,
2495,524,Empresarial,ES,2391.13,EUR,Transferencia,2025-10-09 14:00:21,DECLINED,BAJA,4,
2640,126,Ahorro,MX,387.97,MXN,Cajero,2025-10-13 09:04:59,FRAUD,CRÍTICA,0,
2667,150,Empresarial,MX,79.98,MXN,Farmacia,2025-10-13 16:34:16,FRAUD,CRÍTICA,0,
2171,294,Empresarial,FR,3913.94,EUR,Transferencia,2025-10-13 07:53:12,DECLINED,BAJA,4,
2774,521,Ahorro,DE,136.13,EUR,E-commerce,2025-10-13 17:31:08,FRAUD,CRÍTICA,0,
2336,108,Empresarial,ES,4463.4,EUR,Transferencia,2025-10-03 06:29:29,DECLINED,BAJA,4,
2730,490,Empresarial,DE,2263.52,EUR,Transferencia,2025-10-03 14:31:43,DECLINED,BAJA,4,
1590,527,Corriente,FR,142.35,EUR,Entretenimiento,2025-10-03 14:08:19,FRAUD,CRÍTICA,0,
2555,339,Corriente,UK,1390.24,GBP,Transferencia,2025-10-05 00:50:01,DECLINED,MEDIA,5,
1215,422,Premium,FR,4712.63,EUR,Transferencia,2025-10-05 09:12:08,DECLINED,BAJA,4,
1426,609,Corriente,DE,64.79,EUR,Supermercado,2025-10-05 08:21:57,FRAUD,CRÍTICA,0,
1356,676,Ahorro,FR,115.66,EUR,Entretenimiento,2025-10-05 10:28:28,FRAUD,CRÍTICA,0,
2936,407,Premium,US,2043.8,USD,Transferencia,2025-10-14 15:15:34,DECLINED,BAJA,4,
1163,600,Corriente,US,16.79,USD,Supermercado,2025-10-14 18:52:42,FRAUD,CRÍTICA,0,
2012,124,Ahorro,UK,74.94,GBP,Entretenimiento,2025-10-04 14:13:14,FRAUD,CRÍTICA,0,
1067,432,Empresarial,ES,3988.53,EUR,Transferencia,2025-10-04 13:36:43,DECLINED,BAJA,4,
2610,528,Empresarial,MX,1160.14,MXN,Hotel,2025-10-04 12:29:47,FRAUD,CRÍTICA,0,
1392,157,Empresarial,ES,4022.73,EUR,Transferencia,2025-10-01 09:43:21,DECLINED,BAJA,4,
2330,683,Empresarial,FR,1962.76,EUR,Transferencia,2025-10-01 00:31:29,DECLINED,MEDIA,5,
2345,142,Empresarial,UK,171.11,GBP,Entretenimiento,2025-10-06 19:26:16,FRAUD,CRÍTICA,0,
2405,256,Ahorro,ES,35.45,EUR,Gasolinera,2025-10-06 11:06:13,FRAUD,CRÍTICA,0,
2846,168,Corriente,MX,48.51,MXN,Transporte,2025-10-08 19:16:49,FRAUD,CRÍTICA,0,
2643,180,Empresarial,US,3143.38,USD,Transferencia,2025-10-08 09:45:51,DECLINED,BAJA,4,
2050,287,Empresarial,US,2363.01,USD,Transferencia,2025-10-08 16:59:36,DECLINED,BAJA,4,
2161,640,Premium,UK,4459.45,GBP,Transferencia,2025-10-08 19:58:35,DECLINED,BAJA,4,
